journal,ISSN,eISSN,categories
Expert Review of Pharmacoeconomics & Outcomes Research,1473-7167,1744-8379,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
METHODS OF INFORMATION IN MEDICINE,0026-1270,2511-705X,[HEALTH CARE SCIENCES & SERVICES]
Chronic Illness,1742-3953,1745-9206,[HEALTH CARE SCIENCES & SERVICES]
Health Services Insights,1178-6329,1178-6329,[HEALTH CARE SCIENCES & SERVICES]
International Journal of Social Determinants of Health and Health Services,2755-1938,2755-1946,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
REVIEW OF ACCOUNTING STUDIES,1380-6653,1573-7136,"['BUSINESS, FINANCE']"
JOURNAL OF ACCOUNTING AND PUBLIC POLICY,0278-4254,1873-2070,"['BUSINESS, FINANCE', PUBLIC ADMINISTRATION]"
Financial Innovation,N/A,2199-4730,"['BUSINESS, FINANCE']"
Global Finance Journal,1044-0283,1873-5665,"['BUSINESS, FINANCE']"
ACCOUNTING AND BUSINESS RESEARCH,0001-4788,2159-4260,"['BUSINESS, FINANCE']"
MANAGERIAL FINANCE,0307-4358,1758-7743,"['BUSINESS, FINANCE']"
JOURNAL OF ECONOMICS AND BUSINESS,0148-6195,0148-6195,"['BUSINESS, FINANCE']"
FISCAL STUDIES,0143-5671,1475-5890,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of Risk Finance,1526-5943,2331-2947,"['BUSINESS, FINANCE']"
North American Actuarial Journal,1092-0277,2325-0453,"['BUSINESS, FINANCE']"
Advances in Accounting,0882-6110,1046-5715,"['BUSINESS, FINANCE']"
ISSUES IN ACCOUNTING EDUCATION,0739-3172,1558-7983,"['BUSINESS, FINANCE']"
Asia-Pacific Journal of Accounting & Economics,1608-1625,2164-2257,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of Property Investment & Finance,1463-578X,1470-2002,"['BUSINESS, FINANCE']"
Review of Accounting and Finance,1475-7702,1758-7700,"['BUSINESS, FINANCE']"
Intelligent Systems in Accounting Finance & Management,1550-1949,2160-0074,"['BUSINESS, FINANCE']"
International Journal of Health Economics and Management,2199-9023,2199-9031,"['BUSINESS, FINANCE', ECONOMICS, HEALTH POLICY & SERVICES]"
Annals of Actuarial Science,1748-4995,1748-5002,"['BUSINESS, FINANCE', ECONOMICS]"
Investment Analysts Journal,1029-3523,2077-0227,"['BUSINESS, FINANCE']"
Review of Pacific Basin Financial Markets and Policies,0219-0915,1793-6705,"['BUSINESS, FINANCE']"
Asia-Pacific Management Accounting Journal,1675-3194,1675-3194,"['BUSINESS, FINANCE']"
International Insolvency Review,1180-0518,1099-1107,"['BUSINESS, FINANCE']"
Economics and Finance Letters,2312-6310,2312-430X,"['BUSINESS, FINANCE', ECONOMICS]"
STRATEGIC MANAGEMENT JOURNAL,0143-2095,1097-0266,"[BUSINESS, MANAGEMENT]"
HARVARD BUSINESS REVIEW,0017-8012,0017-8012,"[BUSINESS, MANAGEMENT]"
TECHNOVATION,0166-4972,1879-2383,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
GENDER WORK AND ORGANIZATION,0968-6673,1468-0432,[MANAGEMENT]
Journal of Managerial Psychology,0268-3946,1758-7778,[MANAGEMENT]
International Journal of Logistics Management,0957-4093,1758-6550,[MANAGEMENT]
International Small Business Journal-Researching Entrepreneurship,0266-2426,1741-2870,"[BUSINESS, MANAGEMENT]"
SERVICE INDUSTRIES JOURNAL,0264-2069,1743-9507,[MANAGEMENT]
INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,0965-075X,1468-2389,[MANAGEMENT]
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,1092-7026,1099-1743,[MANAGEMENT]
SYSTEM DYNAMICS REVIEW,0883-7066,1099-1727,[MANAGEMENT]
Journal of Humanitarian Logistics and Supply Chain Management,2042-6747,2042-6755,[MANAGEMENT]
SYSTEMIC PRACTICE AND ACTION RESEARCH,1094-429X,1573-9295,[MANAGEMENT]
Culture and Organization,1475-9551,1477-2760,[MANAGEMENT]
IJISPM-International Journal of Information Systems and Project Management,2182-7796,2182-7788,[MANAGEMENT]
Africa Journal of Management,2332-2373,2332-2381,[MANAGEMENT]
Iranian Journal of Management Studies,2008-7055,2345-3745,[MANAGEMENT]
Journal of the International Council for Small Business,2643-7015,2643-7023,"[BUSINESS, MANAGEMENT]"
IIM Kozhikode Society & Management Review,2277-9752,2321-029X,[MANAGEMENT]
Management-Poland,1429-9321,2299-193X,[MANAGEMENT]
Annals of Corporate Governance,2381-6732,2381-6732,[MANAGEMENT]
European Management Studies,N/A,2956-7602,[MANAGEMENT]
JOURNAL OF ADVERTISING RESEARCH,0021-8499,1740-1909,"[BUSINESS, COMMUNICATION]"
Qualitative Market Research,1352-2752,1758-7646,[BUSINESS]
Journal of Electronic Commerce Research,1526-6133,1938-9027,[BUSINESS]
Journal of Global Fashion Marketing,2093-2685,2325-4483,[BUSINESS]
Journal of Marketing for Higher Education,0884-1241,1540-7144,[BUSINESS]
South Asian Journal of Business Studies,2398-628X,2398-6298,[BUSINESS]
Innovative Marketing,1814-2427,1816-6326,[BUSINESS]
Business Systems Research Journal,1847-8344,1847-9375,[BUSINESS]
Biznes Informatika-Business Informatics,1998-0663,1998-0663,[BUSINESS]
WPOM-Working Papers on Operations Management,1989-9068,1989-9068,[BUSINESS]
REUNIR-Revista de Administracao Contabilidade e Sustentabilidade,2237-3667,2237-3667,[BUSINESS]
POLITICAL GEOGRAPHY,0962-6298,1873-5096,[GEOGRAPHY]
Moravian Geographical Reports,1210-8812,2199-6202,[GEOGRAPHY]
International Journal of Cartography,2372-9333,2372-9341,[GEOGRAPHY]
MITTEILUNGEN DER OSTERREICHISCHEN GEOGRAPHISCHEN GESELLSCHAFT,0029-9138,0029-9138,[GEOGRAPHY]
Documenti Geografici,2035-8792,2281-7549,[GEOGRAPHY]
Journal of Geography-Cografya Dergisi,1302-7212,1305-2128,[GEOGRAPHY]
Cadernos de Geografia,0871-1623,2183-4016,[GEOGRAPHY]
Territoire en Mouvement,1954-4863,1950-5698,[GEOGRAPHY]
INTERNATIONAL MIGRATION,0020-7985,1468-2435,[DEMOGRAPHY]
Biodemography and Social Biology,1948-5565,1948-5573,[DEMOGRAPHY]
Spatial Demography,2364-2289,2164-7070,[DEMOGRAPHY]
JOURNAL OF BLACK STUDIES,0021-9347,1552-4566,[ETHNIC STUDIES]
IDENTITIES-GLOBAL STUDIES IN CULTURE AND POWER,1070-289X,1547-3384,[ETHNIC STUDIES]
Spectrum,2162-3244,2162-3252,[ETHNIC STUDIES]
ECONOMIC MODELLING,0264-9993,1873-6122,[ECONOMICS]
JOURNAL OF APPLIED ECONOMETRICS,0883-7252,1099-1255,[ECONOMICS]
American Economic Journal-Applied Economics,1945-7782,1945-7790,[ECONOMICS]
RAND JOURNAL OF ECONOMICS,0741-6261,1756-2171,[ECONOMICS]
JOURNAL OF COMPARATIVE ECONOMICS,0147-5967,1095-7227,[ECONOMICS]
Cogent Economics & Finance,2332-2039,2332-2039,[ECONOMICS]
QUARTERLY REVIEW OF ECONOMICS AND FINANCE,1062-9769,1878-4259,[ECONOMICS]
SOUTHERN ECONOMIC JOURNAL,0038-4038,2325-8012,[ECONOMICS]
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,0165-1587,1464-3618,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
ECONOMIC POLICY,0266-4658,1468-0327,[ECONOMICS]
Review of International Organizations,1559-7431,1559-744X,[ECONOMICS]
SOCIAL CHOICE AND WELFARE,0176-1714,1432-217X,[ECONOMICS]
MACROECONOMIC DYNAMICS,1365-1005,1469-8056,[ECONOMICS]
ECONOMIC RECORD,0013-0249,1475-4932,[ECONOMICS]
Metroeconomica,0026-1386,1467-999X,[ECONOMICS]
PUBLIC FINANCE REVIEW,1091-1421,1552-7530,[ECONOMICS]
BULLETIN OF ECONOMIC RESEARCH,0307-3378,1467-8586,[ECONOMICS]
Journal of Chinese Economic and Business Studies,1476-5284,1476-5292,[ECONOMICS]
Australian Economic Review,0004-9018,1467-8462,[ECONOMICS]
Journal of Benefit-Cost Analysis,2194-5888,2152-2812,[ECONOMICS]
CIRIEC-Espana Revista de Economia Publica Social y Cooperativa,0213-8093,1989-6816,[ECONOMICS]
ACTA OECONOMICA,0001-6373,1588-2659,[ECONOMICS]
JOURNAL OF MEDIA ECONOMICS,0899-7764,1532-7736,"[COMMUNICATION, ECONOMICS]"
PSL Quarterly Review,2037-3635,2037-3643,[ECONOMICS]
Economics of Transition and Institutional Change,2577-6975,2577-6983,[ECONOMICS]
International Productivity Monitor,1492-9759,1492-9767,[ECONOMICS]
Cuadernos de Economia,0121-4772,2248-4337,[ECONOMICS]
Review of Economic Perspectives,1213-2446,1804-1663,[ECONOMICS]
Journal of Interdisciplinary Economics,0260-1079,2321-5305,[ECONOMICS]
Estudios de Economia,0718-5286,0718-5286,[ECONOMICS]
REICE-Revista Electronica de Investigacion en Ciencias Economicas,2308-782X,2308-782X,[ECONOMICS]
Journal of Energy Markets,1756-3607,1756-3615,[ECONOMICS]
International Journal of Ecological Economics & Statistics,0973-1385,0973-1385,[ECONOMICS]
IATSS Research,0386-1112,2210-4240,[TRANSPORTATION]
Urban Rail Transit,2199-6687,2199-6679,[TRANSPORTATION]
Maritime Transport Research,2666-822X,2666-822X,[TRANSPORTATION]
International Journal of Automotive Technology and Management,1470-9511,1741-5012,[TRANSPORTATION]
Sustainability,N/A,2071-1050,[ENVIRONMENTAL STUDIES]
Sustainable Production and Consumption,2352-5509,2352-5509,[ENVIRONMENTAL STUDIES]
Climate Services,2405-8807,2405-8807,[ENVIRONMENTAL STUDIES]
ENVIRONMENT,0013-9157,1939-9154,[ENVIRONMENTAL STUDIES]
PROGRESS IN PLANNING,0305-9006,1873-4510,[ENVIRONMENTAL STUDIES]
COASTAL MANAGEMENT,0892-0753,1521-0421,[ENVIRONMENTAL STUDIES]
Journal of Agricultural Education & Extension,1389-224X,1750-8622,[ENVIRONMENTAL STUDIES]
GAIA-Ecological Perspectives for Science and Society,0940-5550,2625-5413,[ENVIRONMENTAL STUDIES]
International Journal of Housing Policy,1949-1247,1949-1255,"[ENVIRONMENTAL STUDIES, URBAN STUDIES]"
Ethics Policy & Environment,2155-0085,2155-0093,[ENVIRONMENTAL STUDIES]
Environmental Research: Infrastructure and Sustainability,N/A,2634-4505,[ENVIRONMENTAL STUDIES]
Global Environment,1973-3739,2053-7352,[ENVIRONMENTAL STUDIES]
JOURNAL OF ASIAN AND AFRICAN STUDIES,0021-9096,1745-2538,[AREA STUDIES]
MIDDLE EASTERN STUDIES,0026-3206,1743-7881,[AREA STUDIES]
SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES,0085-6401,1479-0270,[AREA STUDIES]
PACIFIC AFFAIRS,0030-851X,1715-3379,[AREA STUDIES]
JOURNAL OF SOUTHEAST ASIAN STUDIES,0022-4634,1474-0680,[AREA STUDIES]
CANADIAN JOURNAL OF AFRICAN STUDIES,0008-3968,1923-3051,[AREA STUDIES]
JOURNAL OF BALTIC STUDIES,0162-9778,1751-7877,[AREA STUDIES]
Journal of Vietnamese Studies,1559-372X,1559-3738,[AREA STUDIES]
History and Sociology of South Asia,2230-8075,2249-5312,[AREA STUDIES]
Collectivus-Revista de Ciencias Sociales,2382-4018,2382-4018,[AREA STUDIES]
Japanese Studies in Russia,2500-2872,2500-2872,[AREA STUDIES]
Encrucijada Americana,0719-3432,0718-5766,[AREA STUDIES]
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,1017-6772,1467-8268,[DEVELOPMENT STUDIES]
BIODIVERSITY AND CONSERVATION,0960-3115,1572-9710,[ECOLOGY]
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0022-0981,1879-1697,[ECOLOGY]
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,1432-0762,[ECOLOGY]
ECOSYSTEMS,1432-9840,1435-0629,[ECOLOGY]
EUROPEAN JOURNAL OF SOIL BIOLOGY,1164-5563,1778-3615,[ECOLOGY]
Rangeland Ecology & Management,1550-7424,1551-5028,[ECOLOGY]
Ecological Solutions and Evidence,N/A,2688-8319,[ECOLOGY]
PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,0370-047X,N/A,[ECOLOGY]
Housing Care and Support,1460-8790,2042-8375,[URBAN STUDIES]
JOURNAL OF SOCIAL POLICY,0047-2794,1469-7823,[PUBLIC ADMINISTRATION]
INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,0020-8523,1461-7226,[PUBLIC ADMINISTRATION]
Journal of Public Policy,0143-814X,1469-7815,[PUBLIC ADMINISTRATION]
Canadian Journal of Nonprofit and Social Economy Research,1920-9355,1920-9355,[PUBLIC ADMINISTRATION]
EUROPEAN JOURNAL OF FOREST RESEARCH,1612-4669,1612-4677,[FORESTRY]
FORESTRY,0015-752X,1464-3626,[FORESTRY]
Forest Ecosystems,2095-6355,2197-5620,[FORESTRY]
Floresta e Ambiente,2179-8087,2179-8087,[FORESTRY]
MATHEMATICS OF OPERATIONS RESEARCH,0364-765X,1526-5471,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journal of Systems Engineering and Electronics,1004-4132,1004-4132,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
OPTIMAL CONTROL APPLICATIONS & METHODS,0143-2087,1099-1514,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
QUEUEING SYSTEMS,0257-0130,1572-9443,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
International Journal of Systems Science-Operations & Logistics,2330-2674,2330-2682,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Operations Research Perspectives,N/A,2214-7160,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
EURO Journal on Transportation and Logistics,2192-4376,2192-4384,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,0265-4075,1460-3608,[COMMUNICATION]
COMMUNICATION MONOGRAPHS,0363-7751,1479-5787,[COMMUNICATION]
PERSONAL RELATIONSHIPS,1350-4126,1475-6811,[COMMUNICATION]
Frontiers in Communication,N/A,2297-900X,[COMMUNICATION]
Policy and Internet,1944-2866,1944-2866,[COMMUNICATION]
Communication and Critical-Cultural Studies,1479-1420,1479-4233,[COMMUNICATION]
Atlantic Journal of Communication,1545-6870,1545-6889,[COMMUNICATION]
Science Editing,2288-7474,2288-8063,[COMMUNICATION]
SCM Studies in Communication and Media,N/A,2192-4007,[COMMUNICATION]
AQUACULTURE ECONOMICS & MANAGEMENT,1365-7305,1551-8663,[AGRICULTURAL ECONOMICS & POLICY]
Studies in Agricultural Economics,1418-2106,2063-0476,[AGRICULTURAL ECONOMICS & POLICY]
Agris on-line Papers in Economics and Informatics,1804-1930,1804-1930,[AGRICULTURAL ECONOMICS & POLICY]
Agricultura Sociedad y Desarrollo,1870-5472,2594-0244,[AGRICULTURAL ECONOMICS & POLICY]
ECONOMIC AND INDUSTRIAL DEMOCRACY,0143-831X,1461-7099,[INDUSTRIAL RELATIONS & LABOR]
Nouvelle Revue du Travail,2263-8989,2263-8989,[INDUSTRIAL RELATIONS & LABOR]
INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,0749-6753,1099-1751,[HEALTH POLICY & SERVICES]
INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE,0952-6862,1758-6542,[HEALTH POLICY & SERVICES]
Journal of Policy and Practice in Intellectual Disabilities,1741-1122,1741-1130,[HEALTH POLICY & SERVICES]
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,1067-5027,1527-974X,[HEALTH CARE SCIENCES & SERVICES]
MEDICAL TEACHER,0142-159X,1466-187X,[HEALTH CARE SCIENCES & SERVICES]
Lancet Regional Health-Europe,2666-7762,2666-7762,[HEALTH CARE SCIENCES & SERVICES]
BMJ Supportive & Palliative Care,2045-435X,2045-4368,[HEALTH CARE SCIENCES & SERVICES]
JAMA Health Forum,2689-0186,2689-0186,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Journal of Managed Care & Specialty Pharmacy,2376-0540,2376-1032,[HEALTH CARE SCIENCES & SERVICES]
INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,0266-4623,1471-6348,[HEALTH CARE SCIENCES & SERVICES]
JMIR Serious Games,2291-9279,2291-9279,[HEALTH CARE SCIENCES & SERVICES]
Applied Health Economics and Health Policy,1175-5652,1179-1896,"[ECONOMICS, HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Families Systems & Health,1091-7527,1939-0602,[HEALTH CARE SCIENCES & SERVICES]
AIMS Public Health,2327-8994,2327-8994,[HEALTH CARE SCIENCES & SERVICES]
Journal of Patient-Centered Research and Reviews,2330-068X,2330-0698,[HEALTH CARE SCIENCES & SERVICES]
Vigilancia Sanitaria em Debate-Sociedade Ciencia & Tecnologia,2317-269X,2317-269X,[HEALTH CARE SCIENCES & SERVICES]
Palliative Medicine in Practice,2545-0425,2545-1359,[HEALTH CARE SCIENCES & SERVICES]
Medycyna Paliatywna-Palliative Medicine,2081-0016,2081-2833,[HEALTH CARE SCIENCES & SERVICES]
JOURNAL OF FINANCIAL ECONOMICS,0304-405X,N/A,"['BUSINESS, FINANCE', ECONOMICS]"
JOURNAL OF MONETARY ECONOMICS,0304-3932,1873-1295,"['BUSINESS, FINANCE', ECONOMICS]"
WORLD ECONOMY,0378-5920,1467-9701,"['BUSINESS, FINANCE', ECONOMICS]"
European Accounting Review,0963-8180,1468-4497,"['BUSINESS, FINANCE']"
Accounting Horizons,0888-7993,1558-7975,"['BUSINESS, FINANCE']"
Journal of Contemporary Accounting & Economics,1815-5669,1815-5669,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of Behavioral Finance,1542-7560,1542-7579,"['BUSINESS, FINANCE', ECONOMICS]"
China Journal of Accounting Research,1755-3091,1755-3091,"['BUSINESS, FINANCE']"
Accounting Research Journal,1030-9616,1839-5465,"['BUSINESS, FINANCE']"
Review of Asset Pricing Studies,2045-9920,2045-9939,"['BUSINESS, FINANCE']"
JOURNAL OF ECONOMICS AND FINANCE,1055-0925,1938-9744,"['BUSINESS, FINANCE', ECONOMICS]"
Financial and Credit Activity-Problems of Theory and Practice,2306-4994,2310-8770,"['BUSINESS, FINANCE']"
Journal of Investing,1068-0896,2168-8613,"['BUSINESS, FINANCE']"
European Actuarial Journal,2190-9733,2190-9741,"['BUSINESS, FINANCE']"
Journal of Investment Strategies,2047-1238,2047-1246,"['BUSINESS, FINANCE']"
Actualidad Contable Faces,1316-8533,1316-8533,"['BUSINESS, FINANCE']"
Journal of Economic Policy Researches-Iktisat Politikasi Arastirmalari Dergisi,2148-3876,2148-3876,"['BUSINESS, FINANCE', ECONOMICS]"
Tourism Management,0261-5177,1879-3193,"[ENVIRONMENTAL STUDIES, MANAGEMENT]"
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,1930-3815,"[BUSINESS, MANAGEMENT]"
INFORMATION & MANAGEMENT,0378-7206,1872-7530,[MANAGEMENT]
Journal of Nursing Management,0966-0429,1365-2834,[MANAGEMENT]
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,1460-8545,1468-2370,"[BUSINESS, MANAGEMENT]"
PERSONNEL REVIEW,0048-3486,1758-6933,"[INDUSTRIAL RELATIONS & LABOR, MANAGEMENT]"
Asia Pacific Journal of Management,0217-4561,1572-9958,[MANAGEMENT]
International Entrepreneurship and Management Journal,1554-7191,1555-1938,"[BUSINESS, MANAGEMENT]"
TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,1478-3363,1478-3371,[MANAGEMENT]
International Journal of Productivity and Performance Management,1741-0401,1758-6658,[MANAGEMENT]
Journal of Service Management,1757-5818,1757-5826,[MANAGEMENT]
Journal of Supply Chain Management,1523-2409,1745-493X,[MANAGEMENT]
Administrative Sciences,N/A,2076-3387,[MANAGEMENT]
ORGANIZATIONAL DYNAMICS,0090-2616,1873-3530,"[BUSINESS, MANAGEMENT]"
MANAGEMENT INTERNATIONAL REVIEW,0938-8249,1861-8901,[MANAGEMENT]
JOURNAL OF MANAGEMENT INQUIRY,1056-4926,1552-6542,[MANAGEMENT]
Journal of Contingencies and Crisis Management,0966-0879,1468-5973,[MANAGEMENT]
Journal of Responsible Innovation,2329-9460,2329-9037,[MANAGEMENT]
International Journal of Innovation and Technology Management,0219-8770,1793-6950,[MANAGEMENT]
Journal of Facilities Management,1472-5967,1741-0983,[MANAGEMENT]
Journal of Competitiveness,1804-171X,1804-1728,"[BUSINESS, ECONOMICS, MANAGEMENT]"
Polish Journal of Management Studies,2081-7452,2081-7452,[MANAGEMENT]
Action Research,1476-7503,1741-2617,[MANAGEMENT]
Cross Cultural & Strategic Management,2059-5794,2059-5794,[MANAGEMENT]
RAUSP Management Journal,2531-0488,2531-0488,"[BUSINESS, MANAGEMENT]"
Journal of Organizational Ethnography,2046-6749,2046-6757,[MANAGEMENT]
Journal of East European Management Studies,0949-6181,1862-0019,[MANAGEMENT]
Management Research and Practice,2067-2462,2067-2462,[MANAGEMENT]
Direccion y Organizacion,1132-175X,2171-6323,[MANAGEMENT]
Navus-Revista de Gestao e Tecnologia,2237-4558,2237-4558,[MANAGEMENT]
Revista Ciencias Administrativas,1414-0896,2318-0722,[MANAGEMENT]
Journal of Organisational Studies and Innovation,2056-9122,2056-9130,[MANAGEMENT]
Interdisciplinary Journal of Management Studies,N/A,2981-0795,[MANAGEMENT]
PSYCHOLOGY & MARKETING,0742-6046,1520-6793,[BUSINESS]
JOURNAL OF INTERACTIVE MARKETING,1094-9968,1520-6653,[BUSINESS]
Competition & Change,1024-5294,1477-2221,"[BUSINESS, ECONOMICS, GEOGRAPHY]"
Journal of Global Entrepreneurship Research,2228-7566,2251-7316,[BUSINESS]
Critical Perspectives on International Business,1742-2043,1758-6062,[BUSINESS]
Journal of Indian Business Research,1755-4195,1755-4209,[BUSINESS]
Journal of Current Issues and Research In Advertising,1064-1734,2164-7313,"[BUSINESS, COMMUNICATION]"
Journal of Business-to-Business Marketing,1051-712X,1547-0628,[BUSINESS]
Social Marketing Quarterly,1524-5004,1539-4093,[BUSINESS]
Journal of Entrepreneurship,0971-3557,0973-0745,[BUSINESS]
Journal of Media Business Studies,1652-2354,2376-2977,[BUSINESS]
Journal for International Business and Entrepreneurship Development,1549-9324,1747-6763,[BUSINESS]
Revue Internationale PME,0776-5436,0776-5436,[BUSINESS]
Suma de Negocios,2215-910X,2027-5692,[BUSINESS]
Asia Marketing Journal,1598-7868,2765-6500,[BUSINESS]
URBAN GEOGRAPHY,0272-3638,1938-2847,"[GEOGRAPHY, URBAN STUDIES]"
CULTURAL GEOGRAPHIES,1474-4740,1477-0881,"[ENVIRONMENTAL STUDIES, GEOGRAPHY]"
CANADIAN GEOGRAPHIES-GEOGRAPHIES CANADIENNES,0008-3658,1541-0064,[GEOGRAPHY]
SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY,0129-7619,1467-9493,[GEOGRAPHY]
Journal of Borderlands Studies,0886-5655,2159-1229,[GEOGRAPHY]
Journal of Urban Mobility,2667-0917,2667-0917,"[GEOGRAPHY, TRANSPORTATION]"
CyberGeo-European Journal of Geography,1278-3366,1278-3366,[GEOGRAPHY]
DEMOGRAPHY,0070-3370,1533-7790,[DEMOGRAPHY]
Journal of the Economics of Ageing,2212-828X,2212-8298,"[DEMOGRAPHY, ECONOMICS]"
Demografie,0011-8265,1805-2991,[DEMOGRAPHY]
ETHNIC AND RACIAL STUDIES,0141-9870,1466-4356,[ETHNIC STUDIES]
Journal of Race Ethnicity and Politics,N/A,2056-6085,[ETHNIC STUDIES]
Latin American and Caribbean Ethnic Studies,1744-2222,1744-2230,[ETHNIC STUDIES]
Energy Economics,0140-9883,1873-6181,[ECONOMICS]
WORLD DEVELOPMENT,0305-750X,1873-5991,"[DEVELOPMENT STUDIES, ECONOMICS]"
REVIEW OF ECONOMICS AND STATISTICS,0034-6535,1530-9142,[ECONOMICS]
Transport Policy,0967-070X,1879-310X,"[ECONOMICS, TRANSPORTATION]"
JOURNAL OF INTERNATIONAL ECONOMICS,0022-1996,1873-0353,[ECONOMICS]
JOURNAL OF ECONOMIC SURVEYS,0950-0804,1467-6419,[ECONOMICS]
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,0013-0079,1539-2988,"[AREA STUDIES, DEVELOPMENT STUDIES, ECONOMICS]"
ECONOMICA,0013-0427,1468-0335,[ECONOMICS]
ECONOMIC HISTORY REVIEW,0013-0117,1468-0289,[ECONOMICS]
CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,0008-4085,1540-5982,[ECONOMICS]
Economics of Innovation and New Technology,1043-8599,1476-8364,[ECONOMICS]
Journal of Choice Modelling,1755-5345,1755-5345,[ECONOMICS]
Local Economy,0269-0942,1470-9325,[ECONOMICS]
European Review of Economic History,1361-4916,1474-0044,[ECONOMICS]
